id;place;rapport;date;M1;M2;M3;M4;allocation;Hippodrome;nbPartants;idHippodrome;nDistance;nAllocation;idFerrure;idJockey;nbPartants;rPoids;idOeillere;iCote
99322;0;0;21-01-2016;Dm;7a;10a;5a;22000;Vincennes;14;Vincennes;2850;44000;0;2;9;0;0;14
56268;0;0;22-01-2016;1a;2a;3a;5a;14000;Vincennes;16;Nantes;3000;23000;1;236;16;0;0;2
56269;0;0;22-01-2016;7a;3a;4a;7a;22000;Vincennes;10;Vincennes;2100;37000;2;1931;16;0;0;9
56270;0;0;22-01-2016;10a;3a;Da;0a;22000;Vincennes;15;Vincennes;2700;48000;2;167;17;0;0;77
56271;0;0;22-01-2016;1a;Da;2a;Da;46000;Vincennes;18;Vincennes;2700;40000;2;34;16;0;0;10
99356;0;0;22-01-2016;1a;1a;4a;1Da;6500;Wolvega;14;Wolvega;2600;5000;1;793;11;0;0;1
99357;1;1.4;22-01-2016;1a;2a;14a;12a;6600;Wolvega;13;Wolvega;2600;5000;0;19;13;0;0;1
99359;1;1.4;22-01-2016;2a;3a;4a;6a;5500;Wolvega;11;Wolvega;2100;5500;0;19;12;0;0;3
99360;1;1.3;22-01-2016;1a;1a;Da;1a;6600;Wolvega;9;Mons;1750;6000;1;1316;12;0;0;1
56277;1;1.3;23-01-2016;2a;1a;1a;3a;36000;Vincennes;15;Vincennes;2200;36000;0;153;15;0;0;5
56278;1;1.5;23-01-2016;1a;1a;3a;1a;120000;Vincennes;16;Vincennes;2100;88000;2;6;10;0;0;1
56279;1;2.1;23-01-2016;1a;2Da;3a;Da;70000;Vincennes;18;Vincennes;2100;55000;0;156;18;0;0;3
56280;0;0;23-01-2016;1a;Dm;2a;2a;55000;Vincennes;18;Vincennes;2100;52000;1;34;16;0;0;3
56282;1;1.2;23-01-2016;2a;4a;2a;4a;42000;Vincennes;9;Vincennes;2200;38000;0;149;12;0;0;11
99367;1;2.2;23-01-2016;5a;6a;3a;2a;60000;Vincennes;12;Vincennes;2700;52000;0;171;14;0;0;10
56295;0;0;24-01-2016;1a;Da;3a;2a;95000;Vincennes;8;Vincennes;2700;70000;0;4;12;0;0;15
56296;0;0;24-01-2016;9a;1a;8a;7a;46000;Vincennes;14;Vincennes;2700;52000;0;918;14;0;0;90
